,salary,f_open,f_employed,f_selfemployed,f_unemployed,f_education,f_organization,f_datascientist,f_designer,f_developer,f_devops,f_engineer,f_scientist,f_years,f_yearspro,f_ambition,f_python,f_r,f_age,f_female,f_male,f_other
24653,130000.0,0,1,0,0,0,0,0,0,1,1,1,0,30,20,0,1,0,41,0,1,0
24654,95142.0,0,1,0,0,0,1,0,0,1,1,0,0,15,8,0,0,0,42,0,1,0
24657,112500.0,0,1,0,0,1,1,0,1,1,0,1,0,25,23,1,0,0,40,0,1,0
24658,180000.0,0,1,0,0,1,1,0,0,1,0,0,0,6,1,1,0,0,24,0,1,0
24659,118000.0,0,1,0,0,1,0,0,1,1,0,1,0,8,4,0,1,0,32,0,1,0
24660,38952.0,1,1,0,0,2,0,0,0,1,0,0,0,7,4,0,0,0,24,0,1,0
24663,1680.0,0,1,0,0,1,0,0,0,1,0,0,0,5,3,1,1,0,25,0,1,0
24664,36637.0,1,1,0,0,1,0,0,0,1,0,0,0,9,1,0,1,0,24,0,0,1
24667,24368.0,0,1,0,0,2,1,0,0,1,0,0,0,7,1,0,1,0,26,1,0,0
24673,64152.0,0,0,1,0,2,0,0,0,0,0,0,0,25,19,0,0,0,43,0,1,0
24674,73063.0,0,1,0,0,2,0,0,0,1,0,0,0,4,24,1,0,0,32,0,1,0
24675,75837.0,0,1,0,0,2,1,0,0,1,0,0,0,3,3,0,0,0,33,0,1,0
24676,170000.0,0,1,0,0,1,1,0,0,1,0,0,0,26,10,0,0,0,35,0,1,0
24677,426216.0,0,1,0,0,2,0,0,0,1,0,1,0,7,6,0,1,0,23,0,1,0
24678,27492.0,0,1,0,0,0,0,0,0,1,0,0,0,5,4,0,0,0,25,1,0,0
24681,9795.0,0,1,0,0,1,0,0,0,1,0,0,0,2,1,0,0,0,21,0,1,0
24682,61498.0,0,1,0,0,2,0,0,0,1,0,0,0,17,5,0,0,0,33,0,1,0
24687,22915.0,0,1,0,0,1,0,0,0,1,0,0,0,15,15,0,0,0,37,0,1,0
24692,342252.0,0,1,0,0,1,1,0,0,1,0,0,0,9,8,1,0,0,31,0,1,0
24693,7319.0,0,1,0,0,1,0,0,0,1,0,0,0,6,2,0,1,0,23,0,1,0
24694,8287.0,0,1,0,0,0,1,0,0,1,0,0,0,10,8,0,0,0,31,0,1,0
24695,18890.0,0,1,0,0,2,1,0,0,1,0,1,0,4,2,1,1,0,27,0,1,0
24697,5877.0,0,1,0,0,2,0,0,0,1,0,0,0,7,3,1,0,0,27,0,1,0
24698,329976.0,0,1,0,0,1,1,0,0,1,1,1,0,5,2,0,1,1,24,0,1,0
24700,41217.0,1,1,0,0,0,0,0,0,1,0,0,0,15,6,0,0,0,23,0,1,0
24703,19248.0,0,1,0,0,2,0,0,0,1,0,0,0,6,3,0,0,0,25,0,1,0
24704,11688.0,0,1,0,0,0,0,0,0,1,0,0,0,13,0,0,0,0,24,0,1,0
24706,39696.0,1,1,0,0,1,0,0,0,1,0,0,0,6,4,1,1,0,21,0,1,0
24713,58300.0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,28,1,0,0
24714,51000.0,0,1,0,0,1,0,1,0,1,0,0,0,7,3,0,1,0,31,0,1,0
24716,250000.0,0,1,0,0,2,1,0,0,1,0,0,0,16,16,0,0,0,41,0,1,0
24717,75000.0,0,1,0,0,1,0,0,0,1,0,0,0,7,3,0,1,0,24,0,1,0
24721,16392.0,0,1,0,0,2,0,0,0,1,0,0,0,7,5,1,0,0,22,0,1,0
24723,75000.0,0,1,0,0,1,0,0,0,1,0,0,0,14,4,0,0,0,22,0,1,0
24724,53616.0,0,1,0,0,1,0,0,0,1,0,0,0,14,7,1,0,0,26,0,1,0
24725,78508.0,0,1,0,0,1,1,0,0,1,0,0,0,17,13,0,0,0,36,0,1,0
24726,77500.0,0,1,0,0,1,0,0,0,1,0,0,0,10,5,0,0,0,26,0,1,0
24731,18000.0,1,0,1,0,1,0,0,0,1,0,0,0,12,12,0,0,0,37,0,1,0
24733,5040.0,0,1,0,0,1,0,0,0,1,0,0,0,8,3,0,1,0,29,0,1,0
24736,35329.0,1,1,0,0,1,0,0,0,1,0,0,0,7,0,1,0,0,22,0,1,0
24737,96100.0,0,1,0,0,2,1,0,0,1,0,0,1,37,26,0,1,0,53,0,1,0
24740,130000.0,0,1,0,0,1,1,0,0,1,0,0,0,9,7,0,0,0,28,0,1,0
24743,628068.0,0,0,1,0,2,0,0,0,1,0,0,0,8,8,0,1,1,32,0,1,0
24744,162000.0,0,1,0,0,2,1,0,0,1,0,0,0,37,27,0,0,0,52,0,0,1
24745,144000.0,1,1,0,0,0,1,0,0,1,0,0,0,6,4,0,1,0,21,0,1,0
24748,60152.0,0,1,0,0,2,0,0,0,1,0,0,0,18,5,0,1,0,33,0,1,0
24749,105168.0,0,1,0,0,1,0,0,0,1,0,0,0,20,14,0,0,0,35,0,1,0
24752,37812.0,0,1,0,0,2,1,0,0,1,0,0,0,27,18,0,1,0,38,0,1,0
24753,131952.0,0,1,0,0,0,1,0,0,1,0,0,0,20,15,0,1,1,33,0,1,0
24754,12828.0,0,1,0,0,1,1,0,0,1,0,0,0,7,1,0,0,0,23,0,1,0
24755,75000.0,0,1,0,0,1,1,1,0,1,0,0,0,4,1,0,1,0,23,1,0,0
24758,77500.0,0,1,0,0,1,0,0,0,1,0,0,0,5,2,0,1,0,24,0,0,1
24763,10080.0,1,1,0,0,1,0,0,0,1,0,0,0,12,7,1,1,0,30,0,1,0
24764,115464.0,1,1,0,0,1,0,0,0,1,0,1,0,9,8,0,0,0,33,0,1,0
24766,52452.0,0,1,0,0,1,1,0,0,1,0,0,0,10,9,0,0,0,32,0,1,0
24767,81000.0,0,1,0,0,1,1,0,0,1,0,0,0,5,0,0,0,0,24,0,1,0
24769,74474.0,0,1,0,0,2,0,0,0,1,0,0,1,33,20,0,1,0,41,0,1,0
24770,840000.0,0,1,0,0,2,0,1,0,1,0,0,0,6,5,1,1,0,27,0,1,0
24771,201384.0,1,0,1,0,2,0,0,0,1,1,0,0,20,8,0,0,0,33,0,1,0
24772,75000.0,0,1,0,0,1,1,0,1,1,0,0,0,3,2,0,1,0,24,0,1,0
24774,96000.0,0,1,0,0,0,0,0,0,1,0,0,0,5,2,0,0,0,20,0,1,0
24777,3638.0,0,1,0,0,1,0,0,0,1,0,0,0,10,3,0,0,0,25,0,1,0
24779,32081.0,0,1,0,0,1,0,0,0,1,1,0,0,12,5,0,1,0,32,0,1,0
24780,122000.0,0,1,0,0,1,1,0,0,1,0,0,0,5,1,0,1,0,23,0,1,0
24781,33648.0,0,1,0,0,1,0,0,0,1,0,0,0,10,1,0,0,0,24,0,1,0
24782,60000.0,0,1,0,0,1,0,0,0,1,0,0,0,9,5,0,1,0,26,0,1,0
24784,55548.0,0,1,0,0,0,1,0,0,0,0,0,0,16,16,0,1,0,56,1,0,0
24787,41591.0,0,1,0,0,2,0,0,1,1,1,0,0,6,3,1,1,0,27,0,1,0
24791,95518.0,0,1,0,0,1,1,0,0,1,1,0,0,25,18,0,1,0,42,0,1,0
24792,13848.0,0,1,0,0,2,1,0,0,1,0,0,0,3,2,0,0,0,25,1,0,0
24793,52800.0,0,1,0,0,1,0,0,0,1,0,0,0,11,6,0,0,0,25,0,1,0
24794,140000.0,0,1,0,0,2,1,1,0,0,0,1,0,13,8,1,1,0,37,1,0,0
24796,126500.0,0,1,0,0,2,1,0,0,0,0,0,0,10,4,0,0,1,36,0,1,0
24800,125000.0,1,1,0,0,2,0,1,0,1,1,1,1,20,13,0,0,0,37,0,1,0
24801,70932.0,0,1,0,0,1,0,0,0,1,0,0,0,7,7,0,0,0,31,0,1,0
24802,118969.0,0,1,0,0,1,1,0,0,1,1,1,0,15,8,0,0,0,31,0,1,0
24804,55416.0,0,1,0,0,1,0,0,0,1,0,0,0,3,3,1,0,0,25,0,1,0
24808,53520.0,0,1,0,0,2,0,0,0,1,0,0,0,9,1,0,1,0,28,0,1,0
24811,59652.0,1,1,0,0,2,1,0,0,1,0,0,0,12,5,0,1,0,27,0,1,0
24813,19600.0,0,0,1,0,1,0,0,0,1,0,0,0,12,10,0,1,0,32,0,1,0
24816,12603.0,0,1,0,0,0,0,0,1,1,0,0,0,3,0,1,0,0,20,0,1,0
24818,3276.0,0,1,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,20,0,1,0
24822,70000.0,0,1,0,0,1,1,1,0,1,0,1,0,6,3,0,1,0,23,0,1,0
24825,94557.0,0,1,0,0,2,0,0,0,1,0,0,0,12,7,0,0,0,30,0,1,0
24826,5964.0,0,1,0,0,1,0,0,0,1,0,0,0,4,3,0,1,1,24,0,1,0
24827,83868.0,0,1,0,0,1,1,0,0,1,0,0,0,18,13,0,1,0,36,0,1,0
24828,76765.0,0,1,0,0,2,1,0,0,1,0,1,0,13,5,0,1,0,30,0,1,0
24830,71085.0,0,1,0,0,1,0,0,0,1,0,0,0,30,5,0,0,0,39,0,1,0
24831,130344.0,0,0,1,0,1,0,0,0,0,0,1,0,24,20,0,1,0,42,0,1,0
24832,35518.0,0,1,0,0,1,0,0,0,1,0,0,0,17,4,0,0,0,33,0,1,0
24833,58764.0,0,1,0,0,1,0,0,0,1,0,0,0,3,0,1,0,0,24,0,1,0
24837,30648.0,1,1,0,0,1,1,0,0,1,1,0,0,23,7,1,0,0,30,0,1,0
24840,11004.0,0,1,0,0,0,0,0,0,1,0,0,0,6,1,1,1,1,20,0,1,0
24841,87000.0,0,1,0,0,2,0,0,0,1,0,0,0,7,4,0,1,0,28,0,1,0
24843,114000.0,0,1,0,0,1,1,0,0,1,0,0,0,12,8,0,0,0,30,0,1,0
24845,38500.0,0,1,0,0,2,1,0,0,0,1,0,0,5,4,0,0,0,28,1,0,0
24847,63628.0,0,1,0,0,2,1,0,0,1,1,0,1,30,12,0,0,0,39,0,1,0
24850,85000.0,0,1,0,0,1,1,0,0,1,0,0,0,21,21,0,0,0,42,0,1,0
24851,84000.0,0,1,0,0,0,1,0,0,1,1,1,0,5,3,0,1,0,20,0,1,0
24852,38620.0,0,1,0,0,1,1,0,0,0,0,0,1,5,0,1,0,0,21,0,1,0
24853,47628.0,0,1,0,0,1,1,0,1,1,0,0,0,4,1,0,0,0,23,1,0,0
24854,12180.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,21,0,1,0
24856,27396.0,0,1,0,0,1,0,0,0,1,0,0,0,7,2,0,0,0,28,0,1,0
24858,71036.0,1,1,0,0,0,0,0,1,1,0,0,0,3,3,0,1,0,25,0,1,0
24859,58433.0,0,1,0,0,2,0,0,0,1,0,0,0,12,4,0,0,0,27,0,1,0
24863,6717.0,0,1,0,0,1,0,0,1,1,0,0,0,2,2,0,0,0,24,0,1,0
24865,15120.0,0,1,0,0,0,0,0,0,1,0,0,0,3,3,0,0,0,32,0,0,1
24866,46976.0,0,1,0,0,2,1,0,0,1,0,0,0,11,6,1,0,0,30,0,1,0
24867,25572.0,0,1,0,0,1,0,0,1,1,0,0,0,8,2,0,1,0,28,0,1,0
24868,641620.0,0,1,0,0,2,1,0,0,1,1,1,0,29,15,0,0,0,41,0,1,0
24871,76339.0,0,1,0,0,0,1,0,0,1,0,0,0,30,25,0,0,0,45,0,1,0
24872,175000.0,0,1,0,0,2,0,0,0,1,0,0,0,20,11,0,0,0,32,1,0,0
24874,57287.0,0,1,0,0,0,0,0,0,1,0,0,0,10,2,0,0,0,27,0,1,0
24877,68705.0,0,1,0,0,1,0,0,1,1,1,0,0,31,20,0,1,0,46,0,1,0
24878,87996.0,0,1,0,0,1,0,0,0,1,1,0,0,11,7,1,0,0,28,0,1,0
24885,36664.0,0,1,0,0,1,1,0,0,1,0,0,0,7,0,0,0,0,28,0,1,0
24886,95000.0,1,1,0,0,0,0,0,0,1,0,0,0,5,5,0,0,0,42,1,0,0
24891,300000.0,0,1,0,0,2,0,0,0,1,0,1,0,33,10,0,1,1,48,0,1,0
24893,140000.0,0,1,0,0,0,0,1,0,1,1,1,0,18,13,0,1,0,32,0,1,0
24894,175000.0,0,0,1,0,1,0,0,0,1,0,0,0,15,12,0,1,0,43,0,1,0
24895,14184.0,0,1,0,0,1,0,0,0,1,0,0,0,9,6,0,0,0,26,0,1,0
24897,86400.0,0,1,0,0,2,0,0,1,1,0,0,0,30,14,0,1,0,41,0,1,0
24898,58881.0,1,0,1,0,1,0,0,0,1,0,0,0,17,10,0,0,0,30,0,1,0
24899,42888.0,0,1,0,0,2,0,0,0,1,0,0,0,3,1,0,0,0,33,1,0,0
24902,260000.0,0,1,0,0,2,1,0,0,1,0,0,0,26,21,0,0,0,39,0,1,0
24904,21000.0,1,1,0,0,1,0,0,0,1,0,0,0,7,5,1,1,0,26,1,0,0
24905,14256.0,0,1,0,0,2,0,0,0,1,0,0,0,23,18,1,0,0,43,0,1,0
24906,20172.0,0,1,0,0,2,0,0,0,1,1,0,0,15,12,0,0,0,33,0,1,0
24908,43092.0,0,1,0,0,2,0,0,0,1,0,0,0,20,9,0,0,0,32,0,1,0
24911,9840.0,0,1,0,0,0,0,0,0,1,0,0,0,6,3,0,0,0,22,0,1,0
24913,24061.0,0,1,0,0,1,1,0,0,1,0,0,0,7,2,0,0,0,25,0,1,0
24914,66950.0,0,1,0,0,2,0,0,0,1,0,0,0,15,12,1,0,0,41,0,1,0
24915,30488.0,0,1,0,0,1,0,0,0,1,0,0,0,18,14,0,1,0,32,0,1,0
24917,1344.0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,21,0,1,0
24918,39254.0,0,1,0,0,1,0,0,0,1,0,0,0,6,3,1,1,0,26,0,1,0
24921,52339.0,0,1,0,0,0,0,0,0,1,0,0,0,44,32,0,0,0,52,0,1,0
24923,13260.0,0,1,0,0,1,0,0,0,1,0,0,0,5,1,0,0,0,23,0,1,0
24924,6381.0,0,1,0,0,1,0,0,1,1,0,0,0,8,4,1,1,0,26,0,1,0
24925,14760.0,0,0,1,0,1,0,0,0,1,0,0,0,20,15,0,0,0,37,0,1,0
24926,7464.0,1,1,0,0,1,1,0,0,1,0,0,0,7,1,0,0,0,25,0,1,0
24927,77022.0,0,1,0,0,2,0,0,0,1,0,0,0,16,12,0,0,0,43,0,1,0
24928,22944.0,0,1,0,0,2,0,0,0,1,0,0,1,15,20,1,1,0,32,0,1,0
24932,57573.0,0,1,0,0,2,0,0,0,1,1,0,0,10,4,0,0,0,30,0,1,0
24935,68745.0,0,1,0,0,1,0,0,0,1,0,0,0,12,5,0,1,0,28,0,1,0
24937,85931.0,0,1,0,0,1,0,0,0,1,0,0,0,15,10,0,0,0,35,0,1,0
24938,9972.0,1,1,0,0,1,0,0,0,1,0,0,0,5,2,0,1,0,26,0,1,0
24939,64152.0,1,0,1,0,2,0,1,0,0,0,0,0,20,10,0,0,1,42,0,1,0
24941,701196.0,0,1,0,0,2,1,0,0,1,0,0,0,12,3,0,1,0,24,0,1,0
24943,110000.0,0,1,0,0,1,0,0,0,1,0,0,0,3,2,0,0,0,28,1,0,0
24944,82488.0,1,0,1,0,2,0,0,0,1,1,0,0,10,9,0,0,0,32,0,1,0
24946,87668.0,0,1,0,0,2,0,1,0,1,0,0,0,38,28,0,1,0,50,0,1,0
24947,59652.0,0,1,0,0,2,0,0,0,0,1,0,0,35,25,0,1,0,50,0,1,0
24948,54996.0,0,1,0,0,0,0,0,0,1,0,0,0,13,6,0,0,0,25,0,1,0
24949,185000.0,0,1,0,0,2,0,0,0,1,0,0,0,13,8,0,1,0,30,0,1,0
24951,168000.0,1,1,0,0,1,1,0,0,1,1,0,0,42,36,0,0,0,57,0,1,0
24952,74474.0,1,1,0,0,1,0,0,0,1,0,1,0,19,19,0,0,0,41,0,1,0
24955,9936.0,0,1,0,0,2,0,0,0,1,0,0,0,18,10,0,1,0,35,0,1,0
24958,176000.0,0,1,0,0,1,0,0,0,1,0,0,0,4,3,0,1,0,23,0,1,0
24960,3360.0,0,1,0,0,1,0,0,1,1,0,0,0,3,2,1,0,0,22,0,1,0
24962,18000.0,0,1,0,0,2,0,0,0,1,0,0,0,8,4,0,0,0,28,1,0,0
24963,17412.0,0,1,0,0,2,0,0,0,1,1,0,0,3,2,0,0,0,31,0,1,0
24965,72888.0,0,1,0,0,2,0,0,0,1,0,0,0,22,10,1,0,0,29,0,1,0
24966,17491.0,0,1,0,0,1,0,0,0,1,0,0,0,5,5,1,0,0,27,0,1,0
24967,79000.0,0,1,0,0,1,0,0,1,1,0,0,0,10,7,0,0,0,33,0,1,0
24968,20844.0,0,0,1,0,0,0,0,0,1,0,0,0,8,2,0,0,0,23,0,1,0
24972,58024.0,0,1,0,0,2,0,0,0,1,0,0,0,16,6,0,0,0,31,0,1,0
24973,6300.0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,19,0,1,0
24974,38760.0,0,1,0,0,1,0,0,0,1,1,0,0,16,10,0,0,0,32,1,0,0
24976,47724.0,0,1,0,0,1,0,0,0,1,0,0,0,7,3,0,0,0,25,0,1,0
24977,39180.0,0,1,0,0,0,0,0,0,1,0,0,0,5,2,0,0,0,28,0,1,0
24978,7724.0,1,1,0,0,0,0,0,0,1,0,0,0,4,5,1,0,0,26,0,1,0
24979,35518.0,0,1,0,0,1,1,0,0,1,0,0,0,13,4,0,0,0,26,0,1,0
24981,11472.0,0,1,0,0,2,0,0,0,0,0,0,0,3,2,1,1,0,26,0,1,0
24982,26586.0,0,1,0,0,1,0,0,0,1,0,1,0,10,4,0,1,0,26,0,1,0
24983,96000.0,0,0,1,0,1,0,0,1,1,0,0,0,41,40,0,0,0,63,0,1,0
24985,75372.0,0,0,1,0,1,0,0,0,1,0,0,0,16,13,0,0,0,33,0,1,0
24987,68748.0,0,1,0,0,2,0,0,1,1,0,1,0,13,12,0,0,0,32,0,1,0
24988,9600.0,0,1,0,0,1,0,0,1,1,1,1,0,15,11,0,1,1,32,0,1,0
24990,130000.0,0,1,0,0,2,1,0,1,1,1,0,0,20,14,1,0,0,36,0,1,0
24991,19880.0,0,1,0,0,2,0,0,0,1,0,0,0,8,3,0,0,0,25,0,1,0
24992,105000.0,0,1,0,0,2,1,0,1,1,1,0,0,17,7,0,1,0,34,0,1,0
24995,80371.0,0,1,0,0,0,0,0,0,1,0,1,0,10,8,0,1,0,25,0,1,0
24997,48096.0,0,0,1,0,2,1,0,1,1,0,0,0,8,4,0,0,0,28,0,1,0
24998,14748.0,0,1,0,0,1,0,0,0,1,0,0,0,9,2,0,0,0,24,0,1,0
25000,150000.0,0,0,1,0,0,0,0,1,1,0,0,1,40,27,0,0,0,45,0,1,0
25001,56376.0,0,1,0,0,2,0,0,0,1,1,0,0,12,4,0,1,0,29,0,1,0
25002,51038.0,1,1,0,0,0,1,0,1,1,0,0,0,20,13,0,1,0,37,1,0,0
25003,180000.0,0,1,0,0,1,1,0,0,1,0,0,0,19,14,0,0,0,38,0,1,0
25004,92000.0,0,1,0,0,1,1,0,0,1,0,0,0,10,7,0,0,0,28,0,1,0
25006,76339.0,0,1,0,0,1,0,0,0,1,0,1,0,25,20,0,0,0,65,1,0,0
25008,58881.0,0,1,0,0,1,0,0,0,1,0,0,0,5,3,0,0,0,26,0,1,0
25010,110000.0,1,1,0,0,2,0,0,0,1,0,0,0,28,4,0,0,0,34,1,0,0
25011,8556.0,0,1,0,0,1,0,0,1,1,0,0,0,4,3,1,1,0,21,0,1,0
25014,58024.0,0,1,0,0,1,0,0,0,1,0,0,0,9,4,0,0,0,25,0,1,0
25020,91606.0,0,1,0,0,1,0,0,0,1,0,0,0,18,16,1,0,0,34,0,1,0
25021,41986.0,1,1,0,0,0,0,0,0,1,1,0,0,12,3,0,1,1,22,0,1,0
25022,102000.0,0,1,0,0,1,0,0,0,1,0,0,0,11,7,0,0,0,27,0,1,0
25023,53437.0,0,0,1,0,0,0,0,0,1,1,0,0,16,12,0,1,0,33,0,1,0
25025,58428.0,0,1,0,0,1,0,0,0,1,1,0,0,23,13,0,1,0,40,0,1,0
25026,53850.0,0,1,0,0,0,1,0,0,1,1,1,0,10,0,0,1,0,22,0,1,0
25029,90000.0,0,1,0,0,2,0,0,0,1,1,0,0,8,3,1,0,0,27,0,0,1
25031,41688.0,0,1,0,0,2,1,0,0,1,0,0,0,11,8,0,0,0,34,0,1,0
25032,52248.0,0,1,0,0,0,0,0,0,1,0,0,0,19,8,0,0,0,31,0,1,0
25034,37692.0,0,1,0,0,0,0,0,0,0,0,0,0,30,15,0,0,0,47,0,1,0
25036,115000.0,0,1,0,0,0,0,0,0,1,1,0,0,15,13,1,1,0,31,0,1,0
25037,17868.0,0,1,0,0,1,0,0,0,1,0,0,0,14,10,0,0,0,37,0,1,0
25039,36637.0,0,1,0,0,2,1,0,0,0,0,0,0,6,0,1,1,0,26,1,0,0
25040,79740.0,0,1,0,0,2,0,0,0,1,0,0,0,20,12,0,0,0,35,0,1,0
25041,38955.0,0,1,0,0,1,0,0,0,1,0,0,0,16,16,0,0,0,42,0,1,0
25042,36664.0,0,1,0,0,2,1,0,0,1,0,0,1,15,10,0,1,0,29,0,1,0
25045,183320.0,0,1,0,0,2,1,0,0,1,1,1,0,10,8,0,0,0,32,0,1,0
25046,28786.0,0,1,0,0,1,1,0,0,1,0,0,0,15,7,0,0,0,36,0,1,0
25047,27768.0,0,1,0,0,1,1,0,0,1,0,0,0,5,2,0,0,0,24,0,1,0
25049,4200.0,0,1,0,0,1,0,0,0,1,0,0,0,2,2,1,0,0,27,0,1,0
25050,68705.0,0,1,0,0,1,0,0,0,1,0,0,0,14,7,1,0,0,32,0,1,0
25051,28860.0,0,1,0,0,2,0,0,0,1,0,0,0,11,8,0,1,0,30,0,1,0
25054,36648.0,0,1,0,0,1,1,0,0,1,0,1,0,8,5,0,1,0,26,0,1,0
25055,190000.0,0,1,0,0,1,1,0,0,1,0,0,0,25,20,0,1,0,45,0,1,0
25056,12096.0,0,1,0,0,1,0,0,0,1,0,0,0,7,0,0,1,0,25,0,0,1
25057,53615.0,0,1,0,0,2,1,0,0,1,0,0,0,13,5,0,0,0,32,0,1,0
25058,79392.0,0,1,0,0,2,0,0,0,1,0,0,0,23,17,1,1,0,35,1,0,0
25060,320000.0,0,1,0,0,1,1,0,0,1,0,0,0,20,8,1,1,0,30,0,1,0
25063,8664.0,0,1,0,0,0,0,0,0,1,0,0,0,7,5,0,0,0,30,0,1,0
25065,27492.0,0,1,0,0,1,1,0,0,1,0,0,0,5,1,0,0,0,26,0,1,0
25068,56142.0,1,1,0,0,1,0,0,0,1,0,0,0,5,4,0,1,0,29,0,1,0
25069,30000.0,0,1,0,0,0,0,0,0,1,0,0,0,13,7,0,0,0,27,0,1,0
25071,71036.0,0,1,0,0,2,1,0,0,1,1,0,0,17,7,0,1,0,32,0,1,0
25074,64848.0,0,1,0,0,0,1,0,0,1,0,0,0,19,10,0,0,0,33,0,1,0
25075,34372.0,0,1,0,0,0,1,0,0,1,0,0,0,17,9,1,0,0,36,0,1,0
25078,13752.0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,25,0,1,0
25079,1716.0,0,1,0,0,0,0,0,1,1,0,0,0,12,7,0,0,0,33,0,1,0
25084,36990.0,1,1,0,0,0,1,0,0,1,0,0,0,6,0,0,1,0,21,0,1,0
25085,230000.0,0,1,0,0,2,1,1,0,1,0,0,0,38,36,0,1,1,50,0,1,0
25086,64627.0,0,1,0,0,1,1,0,0,1,0,0,0,8,6,0,0,0,28,0,1,0
25091,85000.0,0,1,0,0,0,0,0,0,1,0,0,0,13,6,0,0,0,30,0,1,0
25092,21689.0,0,1,0,0,1,1,0,0,1,0,0,0,17,12,0,1,0,35,0,1,0
25093,75876.0,0,1,0,0,0,0,0,0,1,0,0,0,6,4,0,0,0,31,0,1,0
25094,54996.0,0,1,0,0,1,0,0,0,1,0,0,0,4,2,0,0,0,29,0,1,0
25095,46976.0,0,1,0,0,2,0,0,0,1,0,0,0,12,10,0,0,0,37,0,1,0
25096,618708.0,0,1,0,0,2,0,0,0,1,1,0,0,5,3,0,1,0,29,0,1,0
25097,3492.0,0,0,1,0,1,0,0,1,1,0,0,0,5,4,0,0,0,24,0,1,0
25098,77911.0,0,1,0,0,1,0,0,0,1,0,0,0,12,5,0,0,0,27,0,1,0
25100,25206.0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,27,0,1,0
25102,54000.0,0,1,0,0,0,0,0,0,0,1,0,0,5,1,0,1,0,20,0,1,0
25103,45797.0,0,1,0,0,2,1,0,0,1,0,0,0,14,7,0,1,0,32,0,1,0
25104,54000.0,1,1,0,0,2,1,0,0,1,0,0,0,3,0,0,0,0,40,0,1,0
25106,78000.0,0,1,0,0,1,1,0,0,0,0,1,0,8,4,0,1,0,26,0,1,0
25108,10908.0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,35,0,1,0
25113,29328.0,1,1,0,0,0,1,0,0,1,0,0,0,14,3,0,0,0,22,0,1,0
25114,21096.0,0,0,1,0,2,0,0,1,1,0,0,0,10,10,0,1,0,34,0,1,0
25115,51559.0,0,1,0,0,2,0,0,0,1,0,0,0,10,4,0,0,0,27,0,1,0
25118,45372.0,0,1,0,0,2,1,0,1,1,1,0,0,7,2,0,0,0,30,1,0,0
25119,68745.0,1,1,0,0,0,0,0,0,1,0,0,0,20,6,0,0,0,40,0,1,0
25120,98352.0,1,1,0,0,1,1,0,0,1,0,0,0,24,16,0,1,0,39,0,1,0
25123,80202.0,0,1,0,0,1,0,0,0,1,0,0,0,15,11,1,1,0,30,0,1,0
25125,5652.0,0,1,0,0,2,0,0,0,1,0,0,0,3,0,0,0,0,28,0,1,0
25127,25656.0,0,1,0,0,2,1,0,0,1,0,0,0,7,2,0,1,0,25,0,1,0
25129,46392.0,0,1,0,0,0,1,0,0,1,0,0,0,4,2,0,0,0,26,0,1,0
25130,165000.0,0,1,0,0,2,1,0,1,1,0,0,0,22,21,0,0,0,48,0,1,0
25133,4920.0,0,1,0,0,1,0,0,0,1,0,0,0,5,1,0,1,0,21,0,1,0
25136,66414.0,0,1,0,0,1,0,0,0,1,0,0,0,18,12,0,0,0,42,0,1,0
25137,215898.0,0,1,0,0,1,1,0,0,1,0,0,0,7,6,0,0,0,27,0,1,0
25138,82000.0,1,1,0,0,1,1,0,0,1,1,0,0,5,4,0,0,0,22,0,1,0
25139,120000.0,0,1,0,0,0,1,0,0,1,0,0,0,20,19,0,0,0,40,0,1,0
25140,15108.0,0,1,0,0,2,1,0,0,1,1,0,0,10,5,0,1,0,31,0,1,0
25143,53318.0,0,1,0,0,0,0,0,0,1,0,0,0,15,8,0,0,0,29,0,1,0
25144,12984.0,0,1,0,0,2,0,0,0,1,0,0,0,3,2,1,0,0,28,0,1,0
25145,71000.0,0,1,0,0,1,1,0,0,0,0,0,0,4,1,0,1,0,22,0,1,0
25146,90000.0,0,1,0,0,1,0,0,0,1,0,0,0,4,1,0,1,0,26,0,1,0
25148,51456.0,0,1,0,0,0,1,0,0,1,0,0,0,15,8,0,1,0,35,0,1,0
25149,57287.0,0,1,0,0,2,0,0,1,1,0,0,0,11,8,1,1,0,33,0,1,0
25150,824940.0,0,1,0,0,2,1,0,1,1,0,1,0,8,5,1,1,0,36,0,1,0
25154,12000.0,0,1,0,0,1,1,0,0,1,0,0,0,8,3,1,0,0,26,1,0,0
25155,150000.0,0,1,0,0,0,0,0,0,1,1,1,0,16,9,0,1,0,35,0,1,0
25157,49840.0,0,1,0,0,1,0,0,0,1,0,0,0,10,7,0,1,0,42,1,0,0
25159,40100.0,0,1,0,0,0,0,0,0,1,0,0,0,15,3,0,0,0,26,0,1,0
25160,12924.0,0,1,0,0,0,1,0,0,1,0,0,0,4,4,1,0,0,23,0,1,0
